source_csv,WarningCode,a_id,a_commit,a_date,a_message,a_file,a_suppressed_annotation,a_line_no,a_annotation_type,a_diffs,a_pre_commit,a_post_commit,Category,Category explanation,d_id,d_commit,d_date,d_message,d_file,d_suppressed_annotation,d_line_no,d_annotation_type,d_diffs,d_pre_commit,d_post_commit
          .computeMessageSize(3, amountFiat_);
      }
      if (((bitField0_ & 0x00000004) == 0x00000004)) {
        size += com.google.protobuf.CodedOutputStream
          .computeBytesSize(4, getNoteBytes());
      }
      if (((bitField0_ & 0x00000008) == 0x00000008)) {
        size += com.google.protobuf.CodedOutputStream
          .computeInt64Size(5, minerFee_);
      }
      if (((bitField0_ & 0x00000010) == 0x00000010)) {
        size += com.google.protobuf.CodedOutputStream
          .computeInt64Size(6, clientFee_);
      }
      if (((bitField0_ & 0x00000020) == 0x00000020)) {
        size += com.google.protobuf.CodedOutputStream
          .computeBoolSize(7, sentBySelf_);
      }
      size += getUnknownFields().getSerializedSize();
      memoizedSerializedSize = size;
      return size;
    }

    private static final long serialVersionUID = 0L;
    @java.lang.Override
    protected java.lang.Object writeReplace()
        throws java.io.ObjectStreamException {
      return super.writeReplace();
    }

    public static org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo parseFrom(
        com.google.protobuf.ByteString data)
        throws com.google.protobuf.InvalidProtocolBufferException {
      return PARSER.parseFrom(data);
    }
    public static org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo parseFrom(
        com.google.protobuf.ByteString data,
        com.google.protobuf.ExtensionRegistryLite extensionRegistry)
        throws com.google.protobuf.InvalidProtocolBufferException {
      return PARSER.parseFrom(data, extensionRegistry);
    }
    public static org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo parseFrom(byte[] data)
        throws com.google.protobuf.InvalidProtocolBufferException {
      return PARSER.parseFrom(data);
    }
    public static org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo parseFrom(
        byte[] data,
        com.google.protobuf.ExtensionRegistryLite extensionRegistry)
        throws com.google.protobuf.InvalidProtocolBufferException {
      return PARSER.parseFrom(data, extensionRegistry);
    }
    public static org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo parseFrom(java.io.InputStream input)
        throws java.io.IOException {
      return PARSER.parseFrom(input);
    }
    public static org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo parseFrom(
        java.io.InputStream input,
        com.google.protobuf.ExtensionRegistryLite extensionRegistry)
        throws java.io.IOException {
      return PARSER.parseFrom(input, extensionRegistry);
    }
    public static org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo parseDelimitedFrom(java.io.InputStream input)
        throws java.io.IOException {
      return PARSER.parseDelimitedFrom(input);
    }
    public static org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo parseDelimitedFrom(
        java.io.InputStream input,
        com.google.protobuf.ExtensionRegistryLite extensionRegistry)
        throws java.io.IOException {
      return PARSER.parseDelimitedFrom(input, extensionRegistry);
    }
    public static org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo parseFrom(
        com.google.protobuf.CodedInputStream input)
        throws java.io.IOException {
      return PARSER.parseFrom(input);
    }
    public static org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo parseFrom(
        com.google.protobuf.CodedInputStream input,
        com.google.protobuf.ExtensionRegistryLite extensionRegistry)
        throws java.io.IOException {
      return PARSER.parseFrom(input, extensionRegistry);
    }

    public static Builder newBuilder() { return Builder.create(); }
    public Builder newBuilderForType() { return newBuilder(); }
    public static Builder newBuilder(org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo prototype) {
      return newBuilder().mergeFrom(prototype);
    }
    public Builder toBuilder() { return newBuilder(this); }

    @java.lang.Override
    protected Builder newBuilderForType(
        com.google.protobuf.GeneratedMessage.BuilderParent parent) {
      Builder builder = new Builder(parent);
      return builder;
    }
    /**
     * Protobuf type {@code TransactionInfo}
     *
     * <pre>
     ** 
     * A single ""extra"" transaction info (this is data additional to the bitcoinj Transaction)
     * </pre>
     */
    public static final class Builder extends
        com.google.protobuf.GeneratedMessage.Builder<Builder>
       implements org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfoOrBuilder {
      public static final com.google.protobuf.Descriptors.Descriptor
          getDescriptor() {
        return org.multibit.hd.core.protobuf.MBHDPaymentsProtos.internal_static_TransactionInfo_descriptor;
      }

      protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
          internalGetFieldAccessorTable() {
        return org.multibit.hd.core.protobuf.MBHDPaymentsProtos.internal_static_TransactionInfo_fieldAccessorTable
            .ensureFieldAccessorsInitialized(
                org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo.class, org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo.Builder.class);
      }

      // Construct using org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo.newBuilder()
      private Builder() {
        maybeForceBuilderInitialization();
      }

      private Builder(
          com.google.protobuf.GeneratedMessage.BuilderParent parent) {
        super(parent);
        maybeForceBuilderInitialization();
      }
      private void maybeForceBuilderInitialization() {
        if (com.google.protobuf.GeneratedMessage.alwaysUseFieldBuilders) {
          getAmountFiatFieldBuilder();
        }
      }
      private static Builder create() {
        return new Builder();
      }

      public Builder clear() {
        super.clear();
        hash_ = """";
        bitField0_ = (bitField0_ & ~0x00000001);
        if (amountFiatBuilder_ == null) {
          amountFiat_ = org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment.getDefaultInstance();
        } else {
          amountFiatBuilder_.clear();
        }
        bitField0_ = (bitField0_ & ~0x00000002);
        note_ = """";
        bitField0_ = (bitField0_ & ~0x00000004);
        minerFee_ = 0L;
        bitField0_ = (bitField0_ & ~0x00000008);
        clientFee_ = 0L;
        bitField0_ = (bitField0_ & ~0x00000010);
        sentBySelf_ = false;
        bitField0_ = (bitField0_ & ~0x00000020);
        return this;
      }

      public Builder clone() {
        return create().mergeFrom(buildPartial());
      }

      public com.google.protobuf.Descriptors.Descriptor
          getDescriptorForType() {
        return org.multibit.hd.core.protobuf.MBHDPaymentsProtos.internal_static_TransactionInfo_descriptor;
      }

      public org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo getDefaultInstanceForType() {
        return org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo.getDefaultInstance();
      }

      public org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo build() {
        org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo result = buildPartial();
        if (!result.isInitialized()) {
          throw newUninitializedMessageException(result);
        }
        return result;
      }

      public org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo buildPartial() {
        org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo result = new org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo(this);
        int from_bitField0_ = bitField0_;
        int to_bitField0_ = 0;
        if (((from_bitField0_ & 0x00000001) == 0x00000001)) {
          to_bitField0_ |= 0x00000001;
        }
        result.hash_ = hash_;
        if (((from_bitField0_ & 0x00000002) == 0x00000002)) {
          to_bitField0_ |= 0x00000002;
        }
        if (amountFiatBuilder_ == null) {
          result.amountFiat_ = amountFiat_;
        } else {
          result.amountFiat_ = amountFiatBuilder_.build();
        }
        if (((from_bitField0_ & 0x00000004) == 0x00000004)) {
          to_bitField0_ |= 0x00000004;
        }
        result.note_ = note_;
        if (((from_bitField0_ & 0x00000008) == 0x00000008)) {
          to_bitField0_ |= 0x00000008;
        }
        result.minerFee_ = minerFee_;
        if (((from_bitField0_ & 0x00000010) == 0x00000010)) {
          to_bitField0_ |= 0x00000010;
        }
        result.clientFee_ = clientFee_;
        if (((from_bitField0_ & 0x00000020) == 0x00000020)) {
          to_bitField0_ |= 0x00000020;
        }
        result.sentBySelf_ = sentBySelf_;
        result.bitField0_ = to_bitField0_;
        onBuilt();
        return result;
      }

      public Builder mergeFrom(com.google.protobuf.Message other) {
        if (other instanceof org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo) {
          return mergeFrom((org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo)other);
        } else {
          super.mergeFrom(other);
          return this;
        }
      }

      public Builder mergeFrom(org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo other) {
        if (other == org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo.getDefaultInstance()) return this;
        if (other.hasHash()) {
          bitField0_ |= 0x00000001;
          hash_ = other.hash_;
          onChanged();
        }
        if (other.hasAmountFiat()) {
          mergeAmountFiat(other.getAmountFiat());
        }
        if (other.hasNote()) {
          bitField0_ |= 0x00000004;
          note_ = other.note_;
          onChanged();
        }
        if (other.hasMinerFee()) {
          setMinerFee(other.getMinerFee());
        }
        if (other.hasClientFee()) {
          setClientFee(other.getClientFee());
        }
        if (other.hasSentBySelf()) {
          setSentBySelf(other.getSentBySelf());
        }
        this.mergeUnknownFields(other.getUnknownFields());
        return this;
      }

      public final boolean isInitialized() {
        if (!hasHash()) {
          
          return false;
        }
        if (hasAmountFiat()) {
          if (!getAmountFiat().isInitialized()) {
            
            return false;
          }
        }
        return true;
      }

      public Builder mergeFrom(
          com.google.protobuf.CodedInputStream input,
          com.google.protobuf.ExtensionRegistryLite extensionRegistry)
          throws java.io.IOException {
        org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo parsedMessage = null;
        try {
          parsedMessage = PARSER.parsePartialFrom(input, extensionRegistry);
        } catch (com.google.protobuf.InvalidProtocolBufferException e) {
          parsedMessage = (org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo) e.getUnfinishedMessage();
          throw e;
        } finally {
          if (parsedMessage != null) {
            mergeFrom(parsedMessage);
          }
        }
        return this;
      }
      private int bitField0_;

      // required string hash = 1;
      private java.lang.Object hash_ = """";
      /**
       * <code>required string hash = 1;</code>
       *
       * <pre>
       * The transaction hash (i.e. the transaction id as per the wallet Transaction.hash.toString)
       * </pre>
       */
      public boolean hasHash() {
        return ((bitField0_ & 0x00000001) == 0x00000001);
      }
      /**
       * <code>required string hash = 1;</code>
       *
       * <pre>
       * The transaction hash (i.e. the transaction id as per the wallet Transaction.hash.toString)
       * </pre>
       */
      public java.lang.String getHash() {
        java.lang.Object ref = hash_;
        if (!(ref instanceof java.lang.String)) {
          java.lang.String s = ((com.google.protobuf.ByteString) ref)
              .toStringUtf8();
          hash_ = s;
          return s;
        } else {
          return (java.lang.String) ref;
        }
      }
      /**
       * <code>required string hash = 1;</code>
       *
       * <pre>
       * The transaction hash (i.e. the transaction id as per the wallet Transaction.hash.toString)
       * </pre>
       */
      public com.google.protobuf.ByteString
          getHashBytes() {
        java.lang.Object ref = hash_;
        if (ref instanceof String) {
          com.google.protobuf.ByteString b = 
              com.google.protobuf.ByteString.copyFromUtf8(
                  (java.lang.String) ref);
          hash_ = b;
          return b;
        } else {
          return (com.google.protobuf.ByteString) ref;
        }
      }
      /**
       * <code>required string hash = 1;</code>
       *
       * <pre>
       * The transaction hash (i.e. the transaction id as per the wallet Transaction.hash.toString)
       * </pre>
       */
      public Builder setHash(
          java.lang.String value) {
        if (value == null) {
    throw new NullPointerException();
  }
  bitField0_ |= 0x00000001;
        hash_ = value;
        onChanged();
        return this;
      }
      /**
       * <code>required string hash = 1;</code>
       *
       * <pre>
       * The transaction hash (i.e. the transaction id as per the wallet Transaction.hash.toString)
       * </pre>
       */
      public Builder clearHash() {
        bitField0_ = (bitField0_ & ~0x00000001);
        hash_ = getDefaultInstance().getHash();
        onChanged();
        return this;
      }
      /**
       * <code>required string hash = 1;</code>
       *
       * <pre>
       * The transaction hash (i.e. the transaction id as per the wallet Transaction.hash.toString)
       * </pre>
       */
      public Builder setHashBytes(
          com.google.protobuf.ByteString value) {
        if (value == null) {
    throw new NullPointerException();
  }
  bitField0_ |= 0x00000001;
        hash_ = value;
        onChanged();
        return this;
      }

      // optional .FiatPayment amount_fiat = 3;
      private org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment amountFiat_ = org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment.getDefaultInstance();
      private com.google.protobuf.SingleFieldBuilder<
          org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment, org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment.Builder, org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPaymentOrBuilder> amountFiatBuilder_;
      /**
       * <code>optional .FiatPayment amount_fiat = 3;</code>
       *
       * <pre>
       * id = 2 was used by request_address - removed
       * </pre>
       */
      public boolean hasAmountFiat() {
        return ((bitField0_ & 0x00000002) == 0x00000002);
      }
      /**
       * <code>optional .FiatPayment amount_fiat = 3;</code>
       *
       * <pre>
       * id = 2 was used by request_address - removed
       * </pre>
       */
      public org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment getAmountFiat() {
        if (amountFiatBuilder_ == null) {
          return amountFiat_;
        } else {
          return amountFiatBuilder_.getMessage();
        }
      }
      /**
       * <code>optional .FiatPayment amount_fiat = 3;</code>
       *
       * <pre>
       * id = 2 was used by request_address - removed
       * </pre>
       */
      public Builder setAmountFiat(org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment value) {
        if (amountFiatBuilder_ == null) {
          if (value == null) {
            throw new NullPointerException();
          }
          amountFiat_ = value;
          onChanged();
        } else {
          amountFiatBuilder_.setMessage(value);
        }
        bitField0_ |= 0x00000002;
        return this;
      }
      /**
       * <code>optional .FiatPayment amount_fiat = 3;</code>
       *
       * <pre>
       * id = 2 was used by request_address - removed
       * </pre>
       */
      public Builder setAmountFiat(
          org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment.Builder builderForValue) {
        if (amountFiatBuilder_ == null) {
          amountFiat_ = builderForValue.build();
          onChanged();
        } else {
          amountFiatBuilder_.setMessage(builderForValue.build());
        }
        bitField0_ |= 0x00000002;
        return this;
      }
      /**
       * <code>optional .FiatPayment amount_fiat = 3;</code>
       *
       * <pre>
       * id = 2 was used by request_address - removed
       * </pre>
       */
      public Builder mergeAmountFiat(org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment value) {
        if (amountFiatBuilder_ == null) {
          if (((bitField0_ & 0x00000002) == 0x00000002) &&
              amountFiat_ != org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment.getDefaultInstance()) {
            amountFiat_ =
              org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment.newBuilder(amountFiat_).mergeFrom(value).buildPartial();
          } else {
            amountFiat_ = value;
          }
          onChanged();
        } else {
          amountFiatBuilder_.mergeFrom(value);
        }
        bitField0_ |= 0x00000002;
        return this;
      }
      /**
       * <code>optional .FiatPayment amount_fiat = 3;</code>
       *
       * <pre>
       * id = 2 was used by request_address - removed
       * </pre>
       */
      public Builder clearAmountFiat() {
        if (amountFiatBuilder_ == null) {
          amountFiat_ = org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment.getDefaultInstance();
          onChanged();
        } else {
          amountFiatBuilder_.clear();
        }
        bitField0_ = (bitField0_ & ~0x00000002);
        return this;
      }
      /**
       * <code>optional .FiatPayment amount_fiat = 3;</code>
       *
       * <pre>
       * id = 2 was used by request_address - removed
       * </pre>
       */
      public org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment.Builder getAmountFiatBuilder() {
        bitField0_ |= 0x00000002;
        onChanged();
        return getAmountFiatFieldBuilder().getBuilder();
      }
      /**
       * <code>optional .FiatPayment amount_fiat = 3;</code>
       *
       * <pre>
       * id = 2 was used by request_address - removed
       * </pre>
       */
      public org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPaymentOrBuilder getAmountFiatOrBuilder() {
        if (amountFiatBuilder_ != null) {
          return amountFiatBuilder_.getMessageOrBuilder();
        } else {
          return amountFiat_;
        }
      }
      /**
       * <code>optional .FiatPayment amount_fiat = 3;</code>
       *
       * <pre>
       * id = 2 was used by request_address - removed
       * </pre>
       */
      private com.google.protobuf.SingleFieldBuilder<
          org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment, org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment.Builder, org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPaymentOrBuilder> 
          getAmountFiatFieldBuilder() {
        if (amountFiatBuilder_ == null) {
          amountFiatBuilder_ = new com.google.protobuf.SingleFieldBuilder<
              org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment, org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment.Builder, org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPaymentOrBuilder>(
                  amountFiat_,
                  getParentForChildren(),
                  isClean());
          amountFiat_ = null;
        }
        return amountFiatBuilder_;
      }

      // optional string note = 4;
      private java.lang.Object note_ = """";
      /**
       * <code>optional string note = 4;</code>
       *
       * <pre>
       * The note added when the transaction is sent
       * </pre>
       */
      public boolean hasNote() {
        return ((bitField0_ & 0x00000004) == 0x00000004);
      }
      /**
       * <code>optional string note = 4;</code>
       *
       * <pre>
       * The note added when the transaction is sent
       * </pre>
       */
      public java.lang.String getNote() {
        java.lang.Object ref = note_;
        if (!(ref instanceof java.lang.String)) {
          java.lang.String s = ((com.google.protobuf.ByteString) ref)
              .toStringUtf8();
          note_ = s;
          return s;
        } else {
          return (java.lang.String) ref;
        }
      }
      /**
       * <code>optional string note = 4;</code>
       *
       * <pre>
       * The note added when the transaction is sent
       * </pre>
       */
      public com.google.protobuf.ByteString
          getNoteBytes() {
        java.lang.Object ref = note_;
        if (ref instanceof String) {
          com.google.protobuf.ByteString b = 
              com.google.protobuf.ByteString.copyFromUtf8(
                  (java.lang.String) ref);
          note_ = b;
          return b;
        } else {
          return (com.google.protobuf.ByteString) ref;
        }
      }
      /**
       * <code>optional string note = 4;</code>
       *
       * <pre>
       * The note added when the transaction is sent
       * </pre>
       */
      public Builder setNote(
          java.lang.String value) {
        if (value == null) {
    throw new NullPointerException();
  }
  bitField0_ |= 0x00000004;
        note_ = value;
        onChanged();
        return this;
      }
      /**
       * <code>optional string note = 4;</code>
       *
       * <pre>
       * The note added when the transaction is sent
       * </pre>
       */
      public Builder clearNote() {
        bitField0_ = (bitField0_ & ~0x00000004);
        note_ = getDefaultInstance().getNote();
        onChanged();
        return this;
      }
      /**
       * <code>optional string note = 4;</code>
       *
       * <pre>
       * The note added when the transaction is sent
       * </pre>
       */
      public Builder setNoteBytes(
          com.google.protobuf.ByteString value) {
        if (value == null) {
    throw new NullPointerException();
  }
  bitField0_ |= 0x00000004;
        note_ = value;
        onChanged();
        return this;
      }

      // optional int64 miner_fee = 5;
      private long minerFee_ ;
      /**
       * <code>optional int64 miner_fee = 5;</code>
       *
       * <pre>
       * On a send transaction, the miner fee in satoshi. On any other type of transaction : 0 or missing
       * </pre>
       */
      public boolean hasMinerFee() {
        return ((bitField0_ & 0x00000008) == 0x00000008);
      }
      /**
       * <code>optional int64 miner_fee = 5;</code>
       *
       * <pre>
       * On a send transaction, the miner fee in satoshi. On any other type of transaction : 0 or missing
       * </pre>
       */
      public long getMinerFee() {
        return minerFee_;
      }
      /**
       * <code>optional int64 miner_fee = 5;</code>
       *
       * <pre>
       * On a send transaction, the miner fee in satoshi. On any other type of transaction : 0 or missing
       * </pre>
       */
      public Builder setMinerFee(long value) {
        bitField0_ |= 0x00000008;
        minerFee_ = value;
        onChanged();
        return this;
      }
      /**
       * <code>optional int64 miner_fee = 5;</code>
       *
       * <pre>
       * On a send transaction, the miner fee in satoshi. On any other type of transaction : 0 or missing
       * </pre>
       */
      public Builder clearMinerFee() {
        bitField0_ = (bitField0_ & ~0x00000008);
        minerFee_ = 0L;
        onChanged();
        return this;
      }

      // optional int64 client_fee = 6;
      private long clientFee_ ;
      /**
       * <code>optional int64 client_fee = 6;</code>
       *
       * <pre>
       * On a send transaction, the MultiBit/ client fee in satoshi. On any other type of transaction : 0 or missing
       * </pre>
       */
      public boolean hasClientFee() {
        return ((bitField0_ & 0x00000010) == 0x00000010);
      }
      /**
       * <code>optional int64 client_fee = 6;</code>
       *
       * <pre>
       * On a send transaction, the MultiBit/ client fee in satoshi. On any other type of transaction : 0 or missing
       * </pre>
       */
      public long getClientFee() {
        return clientFee_;
      }
      /**
       * <code>optional int64 client_fee = 6;</code>
       *
       * <pre>
       * On a send transaction, the MultiBit/ client fee in satoshi. On any other type of transaction : 0 or missing
       * </pre>
       */
      public Builder setClientFee(long value) {
        bitField0_ |= 0x00000010;
        clientFee_ = value;
        onChanged();
        return this;
      }
      /**
       * <code>optional int64 client_fee = 6;</code>
       *
       * <pre>
       * On a send transaction, the MultiBit/ client fee in satoshi. On any other type of transaction : 0 or missing
       * </pre>
       */
      public Builder clearClientFee() {
        bitField0_ = (bitField0_ & ~0x00000010);
        clientFee_ = 0L;
        onChanged();
        return this;
      }

      // optional bool sent_by_self = 7 [default = false];
      private boolean sentBySelf_ ;
      /**
       * <code>optional bool sent_by_self = 7 [default = false];</code>
       *
       * <pre>
       * Whether the transaction was sent by this wallet (=true) or not
       * </pre>
       */
      public boolean hasSentBySelf() {
        return ((bitField0_ & 0x00000020) == 0x00000020);
      }
      /**
       * <code>optional bool sent_by_self = 7 [default = false];</code>
       *
       * <pre>
       * Whether the transaction was sent by this wallet (=true) or not
       * </pre>
       */
      public boolean getSentBySelf() {
        return sentBySelf_;
      }
      /**
       * <code>optional bool sent_by_self = 7 [default = false];</code>
       *
       * <pre>
       * Whether the transaction was sent by this wallet (=true) or not
       * </pre>
       */
      public Builder setSentBySelf(boolean value) {
        bitField0_ |= 0x00000020;
        sentBySelf_ = value;
        onChanged();
        return this;
      }
      /**
       * <code>optional bool sent_by_self = 7 [default = false];</code>
       *
       * <pre>
       * Whether the transaction was sent by this wallet (=true) or not
       * </pre>
       */
      public Builder clearSentBySelf() {
        bitField0_ = (bitField0_ & ~0x00000020);
        sentBySelf_ = false;
        onChanged();
        return this;
      }

      // @@protoc_insertion_point(builder_scope:TransactionInfo)
    }

    static {
      defaultInstance = new TransactionInfo(true);
      defaultInstance.initFields();
    }

    // @@protoc_insertion_point(class_scope:TransactionInfo)
  }","  public static final class TransactionInfo extends
      com.google.protobuf.GeneratedMessage
      implements TransactionInfoOrBuilder {
    // Use TransactionInfo.newBuilder() to construct.
    private TransactionInfo(com.google.protobuf.GeneratedMessage.Builder<?> builder) {
      super(builder);
      this.unknownFields = builder.getUnknownFields();
    }
    private TransactionInfo(boolean noInit) { this.unknownFields = com.google.protobuf.UnknownFieldSet.getDefaultInstance(); }

    private static final TransactionInfo defaultInstance;
    public static TransactionInfo getDefaultInstance() {
      return defaultInstance;
    }

    public TransactionInfo getDefaultInstanceForType() {
      return defaultInstance;
    }

    private final com.google.protobuf.UnknownFieldSet unknownFields;
    @java.lang.Override
    public final com.google.protobuf.UnknownFieldSet
        getUnknownFields() {
      return this.unknownFields;
    }
    private TransactionInfo(
        com.google.protobuf.CodedInputStream input,
        com.google.protobuf.ExtensionRegistryLite extensionRegistry)
        throws com.google.protobuf.InvalidProtocolBufferException {
      initFields();
      int mutable_bitField0_ = 0;
      com.google.protobuf.UnknownFieldSet.Builder unknownFields =
          com.google.protobuf.UnknownFieldSet.newBuilder();
      try {
        boolean done = false;
        while (!done) {
          int tag = input.readTag();
          switch (tag) {
            case 0:
              done = true;
              break;
            default: {
              if (!parseUnknownField(input, unknownFields,
                                     extensionRegistry, tag)) {
                done = true;
              }
              break;
            }
            case 10: {
              bitField0_ |= 0x00000001;
              hash_ = input.readBytes();
              break;
            }
            case 26: {
              org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment.Builder subBuilder = null;
              if (((bitField0_ & 0x00000002) == 0x00000002)) {
                subBuilder = amountFiat_.toBuilder();
              }
              amountFiat_ = input.readMessage(org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment.PARSER, extensionRegistry);
              if (subBuilder != null) {
                subBuilder.mergeFrom(amountFiat_);
                amountFiat_ = subBuilder.buildPartial();
              }
              bitField0_ |= 0x00000002;
              break;
            }
            case 34: {
              bitField0_ |= 0x00000004;
              note_ = input.readBytes();
              break;
            }
            case 40: {
              bitField0_ |= 0x00000008;
              minerFee_ = input.readInt64();
              break;
            }
            case 48: {
              bitField0_ |= 0x00000010;
              clientFee_ = input.readInt64();
              break;
            }
            case 56: {
              bitField0_ |= 0x00000020;
              sentBySelf_ = input.readBool();
              break;
            }
          }
        }
      } catch (com.google.protobuf.InvalidProtocolBufferException e) {
        throw e.setUnfinishedMessage(this);
      } catch (java.io.IOException e) {
        throw new com.google.protobuf.InvalidProtocolBufferException(
            e.getMessage()).setUnfinishedMessage(this);
      } finally {
        this.unknownFields = unknownFields.build();
        makeExtensionsImmutable();
      }
    }
    public static final com.google.protobuf.Descriptors.Descriptor
        getDescriptor() {
      return org.multibit.hd.core.protobuf.MBHDPaymentsProtos.internal_static_TransactionInfo_descriptor;
    }

    protected com.google.protobuf.GeneratedMessage.FieldAccessorTable
        internalGetFieldAccessorTable() {
      return org.multibit.hd.core.protobuf.MBHDPaymentsProtos.internal_static_TransactionInfo_fieldAccessorTable
          .ensureFieldAccessorsInitialized(
              org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo.class, org.multibit.hd.core.protobuf.MBHDPaymentsProtos.TransactionInfo.Builder.class);
    }

    public static com.google.protobuf.Parser<TransactionInfo> PARSER =
        new com.google.protobuf.AbstractParser<TransactionInfo>() {
      public TransactionInfo parsePartialFrom(
          com.google.protobuf.CodedInputStream input,
          com.google.protobuf.ExtensionRegistryLite extensionRegistry)
          throws com.google.protobuf.InvalidProtocolBufferException {
        return new TransactionInfo(input, extensionRegistry);
      }
    };

    @java.lang.Override
    public com.google.protobuf.Parser<TransactionInfo> getParserForType() {
      return PARSER;
    }

    private int bitField0_;
    // required string hash = 1;
    public static final int HASH_FIELD_NUMBER = 1;
    private java.lang.Object hash_;
    /**
     * <code>required string hash = 1;</code>
     *
     * <pre>
     * The transaction hash (i.e. the transaction id as per the wallet Transaction.hash.toString)
     * </pre>
     */
    public boolean hasHash() {
      return ((bitField0_ & 0x00000001) == 0x00000001);
    }
    /**
     * <code>required string hash = 1;</code>
     *
     * <pre>
     * The transaction hash (i.e. the transaction id as per the wallet Transaction.hash.toString)
     * </pre>
     */
    public java.lang.String getHash() {
      java.lang.Object ref = hash_;
      if (ref instanceof java.lang.String) {
        return (java.lang.String) ref;
      } else {
        com.google.protobuf.ByteString bs = 
            (com.google.protobuf.ByteString) ref;
        java.lang.String s = bs.toStringUtf8();
        if (bs.isValidUtf8()) {
          hash_ = s;
        }
        return s;
      }
    }
    /**
     * <code>required string hash = 1;</code>
     *
     * <pre>
     * The transaction hash (i.e. the transaction id as per the wallet Transaction.hash.toString)
     * </pre>
     */
    public com.google.protobuf.ByteString
        getHashBytes() {
      java.lang.Object ref = hash_;
      if (ref instanceof java.lang.String) {
        com.google.protobuf.ByteString b = 
            com.google.protobuf.ByteString.copyFromUtf8(
                (java.lang.String) ref);
        hash_ = b;
        return b;
      } else {
        return (com.google.protobuf.ByteString) ref;
      }
    }

    // optional .FiatPayment amount_fiat = 3;
    public static final int AMOUNT_FIAT_FIELD_NUMBER = 3;
    private org.multibit.hd.core.protobuf.MBHDPaymentsProtos.FiatPayment amountFiat_;
    /**
     * <code>optional .FiatPayment amount_fiat = 3;</code>
     *
     * <pre>
     * id = 2 was used by request_address - removed
     * </pre>
     */
    public boolean hasAmountFiat() {
